Time,Name,PosX,PosY,VelX,VelY,Mass
0.000,Sun,0.000000,-0.000000,0.000000,-0.000000,1.000000e+00
0.000,Mercury,0.386989,0.002076,-0.002228,0.415286,1.659000e-07
0.000,Venus,0.722997,0.001519,-0.000638,0.303832,2.447000e-06
0.000,Earth,0.999998,0.001292,-0.000334,0.258347,3.003000e-06
0.000,Mars,1.523999,0.001046,-0.000144,0.209272,3.227000e-07
0.000,Jupiter,5.203000,0.000566,-0.000012,0.113260,9.545000e-04
0.000,Saturn,9.539000,0.000418,-0.000004,0.083647,2.856000e-04
0.000,Uranus,19.191000,0.000295,-0.000001,0.058973,4.365000e-05
0.000,Neptune,30.069000,0.000236,-0.000000,0.047113,5.127000e-05
0.000,Ast11,-2.313958,0.975844,-0.060234,-0.142842,3.925729e-10
0.000,Ast31,-0.310147,-2.259769,0.173153,-0.023768,5.427730e-10
0.000,Ast51,-1.384699,-2.097096,0.133437,-0.088106,3.076172e-10
0.000,Ast71,1.853074,1.840666,-0.112104,0.112859,5.296701e-10
0.000,Ast91,-2.766920,-0.722823,0.038750,-0.148334,1.961417e-10
0.000,Ast111,0.519397,2.909738,-0.147476,0.026325,1.006430e-09
0.000,Ast131,0.305464,-2.478978,0.160482,0.019776,9.254779e-10
0.000,Ast151,-1.503347,2.116317,-0.135562,-0.096293,8.644888e-10
0.000,Ast171,-0.118127,2.584094,-0.167732,-0.007663,2.037772e-10
0.000,Ast191,-0.406127,2.315144,-0.166798,-0.029259,8.763353e-10
0.500,Sun,0.000000,0.000000,0.000002,0.000000,1.000000e+00
0.500,Mercury,0.330941,0.199584,-0.214622,0.356198,1.659000e-07
0.500,Venus,0.706617,0.152286,-0.064014,0.297080,2.447000e-06
0.500,Earth,0.991417,0.130095,-0.033613,0.256172,3.003000e-06
0.500,Mars,1.520301,0.105598,-0.014499,0.208774,3.227000e-07
0.500,Jupiter,5.202683,0.057195,-0.001245,0.113253,9.545000e-04
0.500,Saturn,9.538905,0.042242,-0.000372,0.083646,2.856000e-04
0.500,Uranus,19.190977,0.029781,-0.000092,0.058973,4.365000e-05
0.500,Neptune,30.068990,0.023792,-0.000037,0.047113,5.127000e-05
0.500,Ast11,-2.342838,0.903916,-0.055327,-0.144824,3.925729e-10
0.500,Ast31,-0.223370,-2.270045,0.173906,-0.017398,5.427730e-10
0.500,Ast51,-1.317257,-2.140028,0.136280,-0.083650,3.076172e-10
0.500,Ast71,1.796154,1.896217,-0.115521,0.109359,5.296701e-10
0.500,Ast91,-2.746550,-0.796721,0.042685,-0.147250,1.961417e-10
0.500,Ast111,0.445497,2.921949,-0.148099,0.022556,1.006430e-09
0.500,Ast131,0.385526,-2.467752,0.159744,0.025074,9.254779e-10
0.500,Ast151,-1.570393,2.067159,-0.132630,-0.100284,8.644888e-10
0.500,Ast171,-0.201921,2.579005,-0.167423,-0.012641,2.037772e-10
0.500,Ast191,-0.489244,2.299015,-0.165648,-0.035189,8.763353e-10
1.000,Sun,0.000002,0.000000,0.000003,0.000000,1.000000e+00
1.000,Mercury,0.181536,0.340748,-0.367098,0.196252,1.659000e-07
